actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
enseñanza especializada,30 Nudos Kite School,PS,Paseo,Nuestra Señora Mercedes de Roja,24,38612,38017,Granadilla de Abona,El Medano,www.30nudos.com,info@30nudos.com,922178905.0,,-16.540313,28.04341793,2016-05-09T12:45:15.374000,2015-08-04T11:59:37.153000
enseñanza especializada,Academia,AV,Avenida,San Sebastian,136,38005,38038,Santa Cruz de Tenerife,,,,922222667.0,,-16.258207,28.46357699,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
enseñanza especializada,Academia Cervantes,CL,Calle,Alvarez de Lugo,42,38004,38038,Santa Cruz de Tenerife,,,,,,-16.25816884,28.46729034,2016-05-09T12:45:15.374000,2016-01-08T08:08:33.889000
enseñanza especializada,Academia Culturae,AV,Avenida,Maritima,19,38509,38011,Candelaria,El Pozo Ed Brisamar III,,,646109650.0,,-16.36686522,28.36115836,2016-05-09T12:45:15.374000,2015-08-04T10:53:32.454000
enseñanza especializada,Academia Damian,AV,Avenida,Fundador Gonzalo Gonzalez,17,38600,38017,Granadilla de Abona,,,libdamiangranadilla@gmail.com,922771663.0,,-16.576678,28.11956219,2016-05-09T12:45:15.374000,2016-07-29T07:28:50.768000
enseñanza especializada,Academia de Baile Nuevo Ritmo,CL,Calle,Puldon Natero,25,38413,38031,Los Realejos,La Cruz Santa,,,699307134.0,,-16.56547183,28.37909598,2016-05-09T12:45:15.374000,2023-10-18T14:38:49.207000
enseñanza especializada,Academia de danza,AV,Avenida,Abona,9,38611,38017,Granadilla de Abona,San Isidro CC Abona,www.academiacristinapulido.com,,607219153.0,,-16.561501,28.08426699,2016-05-09T12:45:15.374000,2016-11-29T11:50:54.104000
enseñanza idiomas,Academia de Idiomas Audio Studio,AV,Avenida,Amsterdam,1,38650,38006,Arona,Los Cristianos CC Valdes Center Lc AB,,tenerifelenguaje@eresmas.net,922750858.0,922793288.0,-16.71326991,28.05379896,2016-05-09T12:45:15.374000,2016-09-08T09:02:52.268000
enseñanza idiomas,Academia de Idiomas Britannia,AV,Avenida,Amsterdam,3,38650,38006,Arona,Los Cristianos Ap San Marino Lc 3,,britannia@worldonline.com,922797563.0,922797563.0,-16.71159994,28.05357494,2016-05-09T12:45:15.374000,2017-08-24T12:57:19.595000
enseñanza idiomas,Academia de Idiomas Galfir,AV,Avenida,Los Menceyes,184,38320,38023,La Laguna,Ed Elizabeth  Lc 12,,silvia.ramos@galfir.com,922618548.0,,-16.295623,28.46973799,2016-05-09T12:45:15.374000,2017-10-23T10:35:32.232000
