actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
industria automocion taller,4R Automóvil,AC,Acceso,Guía Isora TF-463,S/N,36680,38019,Guía de Isora,,www.cuatro.com,cuatrorautomovil@hotmail.com,617066552.0,,-16.78502276,28.21456213,2019-04-12T16:38:45.443000,2019-04-12T16:38:45.443000
industria automocion taller,4R Automóvil,CL,Calle,Las Veredas,12,36680,38019,Guía de Isora,,www.cuatror.com,cuatrorautomovil@hotmail.com,922851256.0,,-16.78226255,28.21138105,2019-04-12T16:38:45.443000,2019-04-12T16:38:45.443000
industria automocion taller,911 Motors,AV,Avenida,Lucio Diaz Flores Feo,83,38639,38035,San Miguel,Z I Llano Del Camello,,,922736798.0,,-16.61982687,28.05483756,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria automocion taller,911 Motors,AV,Avenida,Lucio Diaz Flores Feo,83,38639,38035,San Miguel,Z I Llano Del Camello,,,922736798.0,,-16.61957526,28.05489802,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria alimentacion,A Bocados Comidaxpress,RB,Rambla,Santa Cruz,25,38006,38038,Santa Cruz de Tenerife,,,,,,-16.26042996,28.46910227,2016-05-09T12:45:15.374000,2018-01-17T14:26:22.775000
industria construccion,A Feliciano El Baño Barato,CR,Carretera,Antigua TF 655 Las Galletas,61,38639,38035,San Miguel,P I Las Chafiras,www.bañobarato.es,,922735439.0,922735749.0,-16.62149753,28.04973716,2017-02-15T11:40:07.893000,2017-06-21T11:46:14.064000
industria construccion,A Feliciano El Baño Barato,AV,Avenida,Ayyo,2,38677,38001,Adeje,P I La Atalaya,,,922710087.0,922781478.0,-16.73931136,28.12434883,2017-02-15T11:40:07.893000,2017-03-13T09:29:41.882000
industria construccion,A Feliciano El Baño Barato,CM,Camino,Los Pescadores,0,38108,38023,La Laguna,Z I Las Torres De Taco Km 4.5,www.ba?obarato.es,,922619221.0,922612307.0,-16.2923374,28.45075073,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria automocion taller,A Todo Gas,CR,Carretera,General TF 366 El Amparo,132,38438,38022,Icod de los Vinos,El Amparo,,,922811511.0,,-16.71137534,28.35802131,2016-05-09T12:45:15,2016-08-29T13:50:57.044000
industria construccion,Abencor,PG,Polígono,Industrial Valle de Guimar,0,38509,38004,Arafo,PG GUIMAR MZ 5 PARC 22 Y 23,www.abencor.com,jsuarez@abencor.com,922200380.0,,-16.37123116,28.33400258,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria construccion,Abiday Construcciones,CL,Calle,La Gorrina,14,38685,38019,Guía de Isora,,www.abidayconstrucciones.es,info@abidayconstrucciones.es,922857098.0,,-16.76467468,28.18746734,2019-04-12T16:38:45.443000,2019-04-12T16:38:45.443000
industria automocion taller,Abona Centro Integral del Automovil,CL,Calle,Paralela Autopista,0,38611,38017,Granadilla de Abona,San Isidro Km 58,,abona.vo@gmail.com,922178796.0,901707242.0,-16.553815,28.07055299,2016-05-09T12:45:15,2016-11-09T09:37:12.779000
imprenta reprografia,Abona Grafica,AV,Avenida,Santa Cruz,57,38611,38017,Granadilla de Abona,San Isidro,,abonaserigrafia@gmail.com,922391614.0,,-16.559136,28.08080199,2016-05-09T12:45:15.374000,2016-05-24T15:02:09.952000
industria automocion repuestos accesorios,Accesorios Taco,Cr,Carretera,La Zamora,124,38419,38031,Los Realejos,,,,922611000.0,,-16.56705232,28.38598796,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
industria automocion repuestos accesorios,Accesorios Taco,CM,Camino,Los Pescadores,5,38108,38023,La Laguna,Z I Las Torres De Taco,,attenerife@accesoriostaco.com,922611000.0,922610996.0,-16.29315856,28.45144664,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
