actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
servicios otro tipo,13 Magnum Tattoo,AV,Avenida,San Sebastian,71,38005,38038,Santa Cruz de Tenerife,,www.13magnum.com,tattoo13magnum@hotmail.com,922206958.0,,-16.25415385,28.46357863,2016-05-09T12:45:15.374000,2016-02-18T10:32:45.109000
estudio arquitectura ingenieria,2F Arquitectos,CL,Calle,Perez Diaz,68,38380,38051,La Victoria,,www.2farquitectos.es,gfernandez@arquitecto.com,922582624.0,,-16.469917,28.43453399,2016-05-09T12:45:15.374000,2015-08-04T13:35:09.001000
albergue mascotas,4A Asoc Amigos Animales Arico,Cl,Calle,Los Gavilanes,s/n,38589,38020,Güimar,Finca NaDu,https://www.teaming.net/4aasocamigosanimalesarico-grupo,amigos4a@gmail.com,604120312.0,,-16.49905285,28.17371582,2023-10-18T14:36:58.882000,2023-10-18T14:36:58.882000
estudio arquitectura ingenieria,5&5 Decoproyectos,AV,Avenida,Los Abrigos,38,38618,38017,Granadilla de Abona,Los Abrigos,,decoproyectos@gmail.com,922703880.0,922703878.0,-16.590823,28.02982169,2016-05-09T12:45:15.374000,2015-08-04T12:00:30.527000
administracion inmobiliaria,5th Avenue Gestion Inmobiliaria,AV,Avenida,Principes de España,22,38612,38017,Granadilla de Abona,El Medano,,inmob5thavenue@yahoo.es,922176886.0,922178587.0,-16.536998,28.04673029,2016-05-09T12:45:15.374000,2015-08-04T11:59:37.153000
peluqueria estetica,A & A Peluqueros,AV,Avenida,Los Majuelos,5,38107,38038,Santa Cruz de Tenerife,El Sobradillo Multicentro Avenida,,,,,-16.31205227,28.44287275,2016-05-12T09:58:10.136000,2016-05-16T10:09:36.973000
servicios audiovisuales,A Blackstone Film Company,CL,Calle,Levante,0,38632,38006,Arona,Pg Cho,www.blackstonefilm.com,service@blackstonefilm.com,922739916.0,0.0,-16.6514975,28.05029354,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
servicios audiovisuales,A Productions 360,CL,Calle,Franco Cupone,10,38109,38032,El Rosario,Puerto Deportivo Radazul Bajo,aproductions360.com,info@aproductions360.com,922098020.0,,-16.32120509,28.40116772,2017-06-21T10:50:43.223000,2017-06-21T10:50:43.223000
asesoria consultoria gestoria,A y G Asesores,CR,Carretera,General TF 28 Sur,156,38626,38006,Arona,Valle San Lorenzo,,,922767220.0,0.0,-16.66057757,28.09006757,2016-05-09T12:45:15.374000,2015-08-04T12:31:10.347000
aseguradora,A2 Seguros Axa,CL,Calle,Darias y Padron,1,38003,38038,Santa Cruz de Tenerife,CC Nuestra Señora de Africa Lc 23a,,,922102771.0,,-16.251446,28.46240999,2016-05-09T12:45:15.374000,2018-01-31T09:40:01.273000
servicios otro tipo,AAJ Studio,Cl,Calle,Tindaya,2,38413,38031,Los Realejos,,,,822292660.0,,-16.57178707,28.37858844,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
alquiler vehiculos,AB Rent a Car,CL,Calle,Doctor Celestino Gonzalez Padron,10,38400,38028,Puerto de la Cruz,Ur La Paz,www.autosberlin.com,,922381978.0,,-16.53055705,28.41247131,2016-07-29T10:43:08.397000,2016-07-29T10:43:08.397000
asesoria consultoria gestoria,Abeco Consultores,CL,Calle,El Calvario,5,38290,38032,El Rosario,La Esperanza,,,922548327.0,922548767.0,-16.366543,28.45211999,2016-05-09T12:45:15.374000,2015-08-04T10:49:35.113000
servicios profesionales abogacia,Abogada Carmen D Delgado Garzon,CR,Carretera,España TF 217,14,38390,38039,Santa Úrsula,Ed City Center Pl 1 Of 2,,loligarzon42@gmail.com,922302508.0,,-16.49079515,28.42528917,2016-05-09T12:45:15,2018-04-11T10:13:12.421000
servicios profesionales abogacia,Abogada Gonzalez de Chavez Gonzalez,CL,Calle,Media Cuesta,3,38417,38031,Los Realejos,El Toscal Longuera Ed Canaima I,,,922363803.0,922363803.0,-16.57256499,28.40126873,2016-05-09T12:45:15.374000,2023-10-18T14:41:54.296000
servicios profesionales abogacia,Abogada Joana Hernandez,Cl,Calle,San Antonio,9,38480,38010,Buenavista del Norte,,,joanahdezg@gmail.com,922127492.0,922127492.0,-16.8530995,28.37227099,2016-05-09T12:45:15.374000,2023-10-18T14:04:54.665000
servicios profesionales abogacia,Abogada M Candelaria De La Rosa,CL,Calle,El Casino,3,38280,38046,Tegueste,,,,,,-16.33717872,28.52292847,2016-05-09T12:45:15.374000,2016-05-24T09:53:31.081000
servicios profesionales abogacia,Abogada Maria Luz Goya,CL,Calle,Los Cercados,21,38380,38051,La Victoria,,,,922580520.0,,-16.46552251,28.43525428,2016-05-09T12:45:15.374000,2015-11-25T10:35:26.731000
servicios profesionales abogacia,Abogada Mariz Victoria Gutierrez Yumar,CL,Calle,Farrobillo,3,38390,38039,Santa Úrsula,El Farrobillo Pl 1 Of Dr,,victoriagutierrezyumar@hotmail.com,651608929.0,922337643.0,-16.48308497,28.4245297,2016-11-09T10:22:08,2018-04-11T13:39:44.767000
servicios profesionales abogacia,Abogada Rebeca Luis,AV,Avenida,La Gaviota,3,38686,38019,Guía de Isora,Varadero,,,922862711.0,,-16.83854788,28.22624089,2016-05-09T12:45:15.374000,2017-06-08T12:09:52.277000
servicios profesionales abogacia,Abogado Isidoro Luz Ascanio,CR,Carretera,Provincial TF 217,185,38390,38039,Santa Úrsula,Ed Ithaisa Pt H Pl 1,,iluzascanio@icatf.com.es,922304647.0,,-16.50358097,28.41682459,2016-05-09T12:45:15,2018-04-11T10:13:12.421000
servicios profesionales abogacia,Abogado Ivan M Andueza Pulido,CR,Carretera,Provincial TF 217,38,38390,38039,Santa Úrsula,Pl 2 Of 3,,ivandueza@ivandueza.es,922302525.0,,-16.49531252,28.42526424,,2018-04-11T10:13:12.421000
