actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
transporte sociosanitario,Ades Siglo XXI,CL,Calle,Lanzarote,4,38632.0,38006,Arona,El Fraile,,adessiglo21@gmail.com,696858955.0,,-16.66421374,28.01250744,2016-05-09T12:45:15.374000,2023-03-10T14:11:56.184000
transporte guagua,Alpaztour Alonso y de la Paz,CR,Carretera,La Vera Baja,9,38428.0,38034,San Juan de la Rambla,,,alpaztours@teidemail.com,922360939.0,,-16.639116,28.38250399,2016-05-09T12:45:15.374000,2015-08-04T13:13:28.674000
transporte sociosanitario,Ambulancia Tenerife,CL,Calle,Lirio,3,38107.0,38038,Santa Cruz de Tenerife,El Chorrillo,,,922624988.0,,-16.32204633,28.4190549,2016-05-09T12:45:15.374000,2023-03-10T14:10:57.997000
transporte sociosanitario,Ambulancias Llano Blanco,CM,Camino,Candelaria,58,38109.0,38032,El Rosario,Llano Blanco,,,,,-16.32778878,28.4088844,2016-05-09T12:45:15,2015-08-04T10:47:48
transporte guagua,Anaga Bus,CL,Calle,Trasera Casa el Viento,16,38320.0,38023,La Laguna,La Cuesta,www.anagabus.com,,630592026.0,922616767.0,-16.28621879,28.46454617,2016-05-09T12:45:15.374000,2016-08-24T13:07:19.555000
aparcamiento publico,Aparcamiento,AV,Avenida,Antigua TF 655 Las Galletas,67,38639.0,38035,San Miguel,P I Las Chafiras,,,,,-16.62368774,28.04975382,2017-02-15T11:40:07,2017-02-16T13:51:26
aparcamiento publico,Aparcamiento,CL,Calle,Miguel Hernandez Gomez,0,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.61846806,28.05017574,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
aparcamiento publico,Aparcamiento,Av,Avenida,de Colon,s/n,38660.0,38001,Adeje,Puerto Colon,,,,,-16.73545403,28.07673543,2023-10-25T13:48:24.883000,2023-10-25T13:48:24.883000
aparcamiento publico,Aparcamiento,CL,Calle,Tenbel,38,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.61645522,28.05060874,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
aparcamiento publico,Aparcamiento,PG,Polígono,Llano Del Camello,0,38639.0,38035,San Miguel,Z I Llano Del Camello,,,661732121.0,,-16.6200979,28.05226237,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
aparcamiento publico,Aparcamiento,CL,Calle,La Rabasa,0,38009.0,38038,Santa Cruz de Tenerife,Z I Chamberi,,,0.0,,-16.27350304,28.45098819,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
aparcamiento publico,Aparcamiento,AV,Avenida,Antigua TF 655 Las Galletas,57,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.62159642,28.05008641,2017-02-15T11:40:07.893000,2018-03-16T11:40:04.759000
aparcamiento publico,Aparcamiento,CL,Calle,Subida Al Mayorazco,24,38110.0,38038,Santa Cruz de Tenerife,P I El Mayorazgo A Edificio Arca,,,0.0,,-16.28622494,28.44517921,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
aparcamiento publico,Aparcamiento,CL,Calle,Puntagorda,0,38108.0,38023,La Laguna,P I Los Majuelos,,,0.0,,-16.30028223,28.45904634,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
aparcamiento publico,Aparcamiento,AV,Avenida,El Paso,23,38108.0,38023,La Laguna,P I Los Majuelos,,,0.0,,-16.3007972,28.45917236,2017-02-15T11:40:07.893000,2017-02-17T13:37:05
aparcamiento publico,Aparcamiento,CR,Carretera,Antigua TF 655 Las Galletas,45,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.62057518,28.05019944,2017-02-15T11:40:07,2018-03-16T11:40:04.759000
aparcamiento publico,Aparcamiento,CR,Carretera,Antigua TF 655 Las Galletas,15,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.6153094,28.05007217,2017-02-15T11:40:07.893000,2017-06-21T11:46:14.064000
