actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
servicios profesionales medicos,Acufade,AV,Avenida,Mencey de Abona,41,38600,38017,Granadilla de Abona,,,acufadegranadilla@gmail.com,922770539.0,,-16.57876,28.11656369,2016-05-09T12:45:15.374000,2016-06-15T11:00:09.193000
fisioterapia rehabilitacion,Afur Centro de Rehabilitacion,CR,Carretera,General TF 217 Norte,89,38380,38051,La Victoria,Ed Elsa Lc 5,www.facebook.com/pages/Centro-de-Fisioterapia-AFUR,afarsamu@hotmail.com,922313127.0,,-16.46992515,28.43528229,2016-05-09T12:45:15.374000,2015-08-04T13:35:09.001000
servicios asistenciales,Agrupacion De Urgencias Emergencias Sociosanitarias ARGESS,CR,Carretera,General TF 111 Valle Tabares,48,38320,38023,La Laguna,,,argessp@gmail.com,651855097.0,922661629.0,-16.28965949,28.47190758,2016-05-09T12:45:15,2018-03-21T07:51:31.819000
servicios asistenciales,Agrupacion Folklorica Mayores Valle Guerra ASMAVAGUE,CL,Calle,El Calvario,1,38205,38023,La Laguna,Valle de Guerra,,,922542326.0,,-16.38964272,28.51803983,2018-03-27T08:26:52.740000,2018-03-27T08:26:52.740000
fisioterapia rehabilitacion,AIO Terapias Naturales,CR,Carretera,Nueva Corujera,1,38399,38039,Santa Úrsula,Ed Marta Lc D,,medicacelia@hotmail.com,606395157.0,,-16.50197579,28.41993853,2016-05-09T12:45:15,2018-04-10T14:32:20.221000
servicios profesionales medicos,Alejandro Jimenez Cruz,CR,Carretera,General TF 152 Norte,33,38350,38043,Tacoronte,Ed Imaca La Estacion 2º Piso,,,922562677.0,,-16.41606802,28.4763212,2018-05-22T10:39:25.601000,2018-05-22T10:39:25.601000
servicios asistenciales,Alenta Servicios,AV,Avenida,Obispo Perez Caceres,62,38500,38020,Güimar,Puente de Guaza,,,,,-16.411633,28.31312799,2016-05-09T12:45:15.374000,2016-01-04T10:14:04.816000
servicios asistenciales,Alerta Medica Canaria,AV,Avenida,La Salle,25,38005,38038,Santa Cruz de Tenerife,Ed La Rotonda Lc 13,www.alertamedicacanaria.com,alertamedicacanaria@gmail.com,922231000.0,922231123.0,-16.25688829,28.45985709,2016-05-09T12:45:15,2018-03-09T12:11:36.649000
centro de salud,Ambulatorio,CL,Calle,Cologan,4,38300,38026,La Orotava,,,,922331584.0,,-16.525885,28.39057899,2016-05-09T12:45:15.374000,2015-08-04T13:30:57.348000
centro de salud,Ambulatorio,CL,Calle,Tome Cano,7,38005,38038,Santa Cruz de Tenerife,,,,922220030.0,,-16.261814,28.45905099,2016-05-09T12:45:15,2018-01-18T13:38:02.586000
fisioterapia rehabilitacion,Ana Lozano Pilates,CL,Calle,Los Arenales,20,38650,38006,Arona,Los Cristianos Ht Marylanza,www.analozanopilates.com,info@analozanopilates.com,922088237.0,,-16.72271835,28.05994251,2016-05-09T12:45:15,2017-08-24T12:06:46.294000
servicios profesionales psicologia,Arbona Centro de Psicologia y Coaching,AV,Avenida,Modesto Hernandez Gonzalez,3,38639,38035,San Miguel,P I Las Chafiras CC Alpamavi,www.psicoarbona.com,psicoarbona@gmail.com,922733504.0,,-16.61161896,28.04899833,2017-02-15T11:40:07.893000,2017-06-22T12:00:55.850000
clinica dental,Arte Dental,CR,Carretera,General TF 320 Icod Santa Cruz,16,38400,38028,Puerto de la Cruz,Pg Piedra Redonda Lc 10-11,arte-dental.com,info@arte-dental-lauch.com,922382028.0,,-16.54124218,28.39798253,2016-05-09T12:45:15.374000,2016-11-24T13:27:44.525000
clinica dental,Arte Dental,PG,Polígono,Las Arenas Via de Servicio,16,38400,38028,Puerto de la Cruz,Pg Piedra Redonda,arte-dental.com,info@arte-dental-lauch.com,922382028.0,,-16.54144698,28.39835855,2016-05-09T12:45:15.374000,2016-06-15T11:00:09.193000
servicios asistenciales,Asilo Hogar Santisimo Cristo La Laguna,CL,Calle,Viana,64,38201,38023,La Laguna,,,,922252247.0,,-16.31291122,28.4921282,2017-04-04T07:45:10.347000,2019-02-07T09:16:01.947000
servicios asistenciales,Asociacion Amigos Tercera Edad Finca Pacho,CL,Calle,San Florencio,9,38108,38023,La Laguna,El Cardonal,,,,,-16.30075127,28.45519266,2016-05-09T12:45:15,2018-02-15T09:49:54.934000
servicios asistenciales,Asociación APRECAN Niños Prematuros,CL,Calle,Tilo,1,38360,38041,El Sauzal,La Baranda,,,,,-16.43810783,28.47023099,2016-08-09T13:45:22.854000,2016-08-10T13:13:47.972000
servicios asistenciales,Asociacion Benefica Jose y Maria Casa Solidaridad,CL,Calle,San Pedro Arriba,65,38500,38020,Güimar,,,,922524596.0,,-16.4153274,28.31635777,2016-05-09T12:45:15.374000,2018-02-14T13:32:50.724000
servicios asistenciales,Asociacion Club Mayores El Tinglado,CM,Camino,Antiguo Cuesta de la Villa,14,38390,38039,Santa Úrsula,Cuesta de la Villa,,,696180492.0,,-16.50333388,28.41694358,2018-02-01T11:43:10,2018-02-09T08:32:18.348000
servicios asistenciales,Asociacion Club Pensionistas y Jubilados La Acequia,CL,Calle,Guanches,76,38399,38039,Santa Úrsula,La Corujera,,,,,-16.49282184,28.4154173,2016-05-09T12:45:15,2018-02-09T08:37:38.418000
servicios asistenciales,Asociacion Corazon y Vida Canarias,CR,Carretera,General TF 152 Norte,151,38360,38041,El Sauzal,Pl 1,www.corazonyvida.com,corazonyvida@corazonyvida.com,646803797.0,922573953.0,-16.43023299,28.47314668,2016-08-09T13:47:25.352000,2018-03-20T12:20:57.534000
servicios asistenciales,Asociacion de la Tercera Edad La Candelaria ,CL,Calle,Machado Y Fiesco,15,38320,38023,La Laguna,La Cuesta Bo La Candelaria Centro Sociocultural,,,922661122.0,,-16.28417176,28.47017013,2018-03-27T11:50:32.818000,2018-11-30T13:30:16.640000
servicios asistenciales,Asociacion De Mayores Abona,CL,Calle,El Calvario,8,38580,38005,Arico,Villa de Arico,www.ayuntamientodearico.com,,922161118.0,,-16.50297701,28.16846613,2016-05-09T12:45:15,2018-03-22T10:08:02.911000
servicios asistenciales,Asociacion De Mayores Amigos de la Amistad,CL,Calle,Volcan Estromboli,5,38108,38023,La Laguna,Las Chumberas Centro Ciudadano,,,922310060.0,,-16.30195844,28.46161121,2017-02-24T13:53:48,2018-03-23T13:41:59.819000
servicios asistenciales,Asociacion De Mayores El Apio,CL,Calle,Calvario,1,38270,38023,La Laguna,Valle de Guerra,,,922159983.0,,-16.38966158,28.51807083,2016-05-09T12:45:15,2018-03-23T13:41:13.711000
servicios asistenciales,Asociacion De Mayores El Boqueron,CL,Calle,Calvario,1,38270,38023,La Laguna,Valle de Guerra,,,922159983.0,,-16.38961948,28.51801271,2016-05-09T12:45:15,2018-03-23T13:41:13.711000
servicios asistenciales,Asociacion De Mayores La Atalaya,CL,Calle,Guillermo Gonzalez,3,38260,38023,La Laguna,Tejina,,,922545469.0,,-16.36475819,28.53448107,2016-05-09T12:45:15,2018-03-23T13:38:36.512000
servicios asistenciales,Asociacion De Mayores Miguel de Unamuno,CL,Calle,Santa Catalina de Siena,35,38320,38023,La Laguna,La Cuesta Princesa Yballa Centro Ciudadano,,,922661000.0,,-16.28835986,28.46738983,2016-05-09T12:45:15,2018-03-23T13:41:13.711000
servicios asistenciales,Asociacion De Mayores Virgen de los Remedios,CL,Calle,San Isidro,44,38410,38031,Los Realejos,San Agustin,,,,,-16.58292477,28.38477429,2016-05-09T12:45:15,2018-03-22T11:42:44.515000
servicios asistenciales,Asociacion De Pensionistas La Montaña de San Matias,AV,Avenida,San Matias,30,38108,38023,La Laguna,San Matias,,,922620721.0,,-16.29679696,28.44219113,2016-05-09T12:45:15.374000,2018-03-23T13:43:38.723000
servicios asistenciales,Asociacion De Tercera Edad Cristo del Pilar,CL,Calle,San Horacio,11,38108,38023,La Laguna,Taco,,,922614176.0,,-16.29923427,28.45371317,2016-05-09T12:45:15,2018-03-23T13:43:38.723000
