actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
servicios empleo,Activa Empresa Trabajo Temporal ETT,CL,Calle,San Juan Bosco,1,38300,38026,La Orotava,Ed Temait,www.activacanarias.es,,922325523.0,,-16.51952762,28.3933846,2016-05-09T12:45:15.374000,2017-10-31T14:20:40.388000
servicios empleo,Activa Empresa Trabajo Temporal ETT,AV,Avenida,Bulevar Chajofe,3,38650,38006,Arona,Los Cristianos Ed Eden Lc 110,www.activacanarias.es,jose@activacanarias.es,922791011.0,922795956.0,-16.7133572,28.05479814,2016-05-09T12:45:15.374000,2017-11-16T08:05:09.206000
servicios empleo,Adecco,CL,Calle,Miguel de Cervantes,25,38300,38026,La Orotava,Ed Temait,www.adecco.es,,922328061.0,922328131.0,-16.51906256,28.39328382,2016-05-09T12:45:15.374000,2017-10-31T14:20:40.388000
servicios empleo,Adecco,AV,Avenida,La Salle,13,38005,38038,Santa Cruz de Tenerife,,www.edecco.es,,902302030.0,,-16.25671376,28.46127025,2016-05-09T12:45:15.374000,2016-11-28T12:48:44.306000
administracion publica servicios tributarios,Administracion AEAT,AV,Avenida,Arquitecto Gomez Cuesta,20,38650,38006,Arona,Py Americas,www.agenciatributaria.es,,,,-16.7280137,28.05830385,2016-09-07T10:07:52,2017-10-23T11:39:07.341000
administracion publica servicios tributarios,Administracion AEAT,CL,Calle,Padre Herrera,1,38207,38023,La Laguna,,www.agenciatributaria.es,,,,-16.31312358,28.48534342,2016-05-09T12:45:15.374000,2017-10-23T11:39:07.341000
administracion publica servicios tributarios,Administracion AEAT,AV,Avenida,Maritima,6,38003,38038,Santa Cruz de Tenerife,,www.agenciatributaria.es,,922842000.0,,-16.24849823,28.46337056,2017-10-23T11:46:37.469000,2017-10-23T11:46:37.469000
administracion publica servicios tributarios,Administracion AEAT,PS,Paseo,Las Caladoras,6,38400,38028,Puerto de la Cruz,San Felipe,www.agenciatributaria.es,922386611,,,-16.55687882,28.41222812,2017-10-23T11:38:00.152000,2017-10-23T11:38:00.152000
administracion publica servicios desarrollo local,Agencia de Desarrollo Local,CL,Calle,Medio Arriba,1,38410,38031,Los Realejos,Realejo Alto,losrealejos.es/servicios-municipales/adl,desarrollo.local@losrealejos.es,922346234.0,922340556.0,-16.58516666,28.38029999,2016-05-09T12:45:15.374000,2023-10-18T14:38:49.207000
administracion publica servicios policia y seguridad,Agencia Medio Ambiente,CL,Calle,Poeta Aristides Hernandez Mora,5,38500,38020,Güimar,Tasagaya,,,,,-16.406157,28.31842899,2016-05-09T12:45:15.374000,2016-04-18T12:08:46.013000
emergencias centro de proteccion civil,Agrupacion Voluntarios de Proteccion Civil La Matanza de Acentejo,CL,Calle,Real,110,38370,38025,La Matanza,,,proteccioncivil@matanceros.com,674991144.0,,-16.44972042,28.45161639,,2018-03-06T07:54:59.381000
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil Arafo,CL,Calle,Modesto Fraile Poujade,13,38550,38004,Arafo,,asociacion398.tenerifesolidario.org,proteccioncivillaarafo@gmail.com,609640295.0,922513200.0,-16.41577707,28.34003949,2018-02-27T14:02:12.043000,2018-03-07T12:24:05.096000
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil Candelaria,AV,Avenida,La Constitucion,5,38509,38011,Candelaria,,www.candelaria.es,agrupaciondeproteccioncivil@candelaria.es,673293553.0,922500808.0,-16.37003428,28.35517611,2016-05-09T12:45:15,2018-03-13T11:09:02.947000
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil El Rosario,PZ,"Plaza, plazoleta",Ayuntamiento,1,38290,38032,El Rosario,La Esperanza,,,620301379.0,,-16.36713979,28.45144324,2016-05-09T12:45:15,2015-08-04T10:49:35
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil Icod,CL,Calle,San Sebastian,25,38430,38022,Icod de los Vinos,Pz Luis Leon Huerta,,agrupacionpcicod@gmail.com,646560216.0,922869600.0,-16.71914853,28.36761228,2016-05-09T12:45:15,2017-05-26T14:23:12
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil La Laguna,CL,Calle,Consistorio,19,38201,38023,La Laguna,,www.proteccioncivil.biz,acordia@aytolalaguna.es,922601117.0,922601117.0,-16.31413887,28.48611115,2016-05-09T12:45:15.374000,2018-03-01T15:01:11.249000
emergencias centro de proteccion civil,Agrupacion Voluntarios Proteccion Civil La Orotava,CL,Calle,Educadora Lucia Mesa,1,38300,38026,La Orotava,La Torrita Centro Usos Multiples,asociacion402.tenerifesolidario.org,proteccioncivilorotava@gmail.com,600056000.0,922325534.0,-16.52132482,28.3891665,2016-05-09T12:45:15,2018-03-07T10:42:18.126000
